"Dataset","lh_inferiortemporal_thickness"
"BGSP",2.709
"BGSP",2.818
"BGSP",2.647
"BGSP",2.94
"BGSP",2.779
"BGSP",2.775
"BGSP",2.72
"BGSP",2.971
"BGSP",2.862
"BGSP",2.634
"BGSP",2.571
"BGSP",2.759
"BGSP",2.578
"BGSP",2.791
"BGSP",2.675
"BGSP",2.809
"BGSP",2.514
"BGSP",2.796
"BGSP",2.757
"BGSP",2.438
"BGSP",2.818
"BGSP",2.562
"BGSP",2.683
"BGSP",2.631
"BGSP",2.621
"BGSP",2.819
"BGSP",2.787
"BGSP",2.694
"BGSP",2.708
"BGSP",2.539
"BGSP",2.762
"BGSP",2.659
"BGSP",2.653
"BGSP",2.741
"BGSP",2.364
"BGSP",2.653
"BGSP",2.612
"BGSP",2.557
"BGSP",2.882
"BGSP",2.741
"BGSP",2.726
"BGSP",2.745
"BGSP",2.688
"BGSP",2.751
"BGSP",2.635
"BGSP",2.806
"BGSP",2.785
"BGSP",2.731
"BGSP",2.626
"BGSP",2.705
"BGSP",2.619
"BGSP",2.758
"BGSP",2.881
"BGSP",2.713
"BGSP",2.645
"BGSP",2.702
"BGSP",2.65
"BGSP",2.801
"BGSP",2.795
"BGSP",2.708
"BGSP",2.488
"BGSP",2.514
"BGSP",2.583
"BGSP",2.771
"BGSP",2.925
"BGSP",2.762
"BGSP",2.747
"BGSP",2.691
"BGSP",2.51
"BGSP",2.646
"BGSP",2.745
"BGSP",2.709
"BGSP",2.617
"BGSP",2.766
"BGSP",2.769
"BGSP",2.6
